,name,institute,provider,date,review,rating
667,Material Design for Android Developers,Google,Udacity,Self Paced,1 Reviews,5.0
668,Gradle for Android and Java,Google,Udacity,Self Paced,3 Reviews,3.3
669,Google Location Services on Android,Google,Udacity,Self Paced,1 Reviews,5.0
670,Add Google Maps to your Android App,Google,Udacity,Self Paced,2 Reviews,5.0
674,Java für Einsteiger,-1,openHPI,Self Paced,2 Reviews,5.0
675,Learn Swift Programming Syntax,-1,Udacity,Self Paced,1 Reviews,1.0
676,Application Development for SAP Business ByDesign,-1,openSAP,Self Paced,1 Reviews,5.0
678,"Developing International Software, Part 1",Microsoft,edX,Self Paced,2 Reviews,3.5
679,Android Wear Development,Google,Udacity,Self Paced,1 Reviews,5.0
685,Programming in F#,Microsoft,edX,Self Paced,1 Reviews,3.0
686,2D Game Development with libGDX,Amazon,Udacity,Self Paced,1 Reviews,5.0
687,Writing READMEs,-1,Udacity,Self Paced,2 Reviews,2.5
688,Designing RESTful APIs,-1,Udacity,Self Paced,1 Reviews,2.0
689,Java Workshop: Einführung in eine Java- Programmierumgebung (IDE),-1,openHPI,Self Paced,1 Reviews,5.0
693,JavaScript Design Patterns,-1,Udacity,Self Paced,4 Reviews,4.5
694,Semantic Web Technologies,-1,openHPI,Self Paced,1 Reviews,2.0
695,Extending SAP Products with SAP HANA Cloud Platform,-1,openSAP,Self Paced,1 Reviews,2.0
698,Learn to Program Using Python,University of Texas Arlington,edX,Self Paced,2 Reviews,4.5
700,JavaScript Promises,Google,Udacity,Self Paced,4 Reviews,5.0
701,Mobile Application Experiences Part 1: From a Domain to an App Idea,Massachusetts Institute of Technology,edX,Self Paced,2 Reviews,4.5
703,Networking for Web Developers,-1,Udacity,Self Paced,2 Reviews,5.0
712,Build Your Own SAP Fiori App in the Cloud,-1,openSAP,Self Paced,1 Reviews,3.0
716,Desarrollo de aplicaciones profesionales para Android,Galileo University,edX,Self Paced,1 Reviews,5.0
717,Programming in Scratch,Harvey Mudd College,edX,Self Paced,4 Reviews,4.5
718,Google Maps APIs,Google,Udacity,Self Paced,1 Reviews,5.0
721,The Computing Technology Inside Your Smartphone,Cornell University,edX,Self Paced,2 Reviews,5.0
723,Client-Server Communication,Google,Udacity,Self Paced,2 Reviews,4.5
726,Android Basics: Multiscreen Apps,Google,Udacity,Self Paced,4 Reviews,4.5
729,Developing Windows 10 Universal Apps – Part 3,Microsoft,edX,Self Paced,1 Reviews,3.0
731,Developing Web Apps with SAPUI5,-1,openSAP,Self Paced,2 Reviews,4.0
734,Android Basics: Networking,Google,Udacity,Self Paced,3 Reviews,4.0
741,Web Development and Design using Wordpress,California Institute of the Arts,Kadenze,Self Paced,3 Reviews,4.3
742,Android Basics: Data Storage,-1,Udacity,Self Paced,3 Reviews,4.0
744,Android Basics: User Interface,Google,Udacity,Self Paced,2 Reviews,3.5
745,Android Basics: User Input,Google,Udacity,Self Paced,3 Reviews,4.3
746,Web Applications for Everybody,-1,Independent,Self Paced,2 Reviews,4.5
749,"Web Coding Fundamentals: HTML, CSS and Javascript",National University of Singapore,Kadenze,Self Paced,4 Reviews,4.8
751,VR Software Development,Google,Udacity,Self Paced,5 Reviews,3.2
759,Introduzione a MATLAB: il LABoratorio delle MATrici,University of Modena and Reggio Emilia,EduOpen,Self Paced,1 Reviews,5.0
762,MATLAB and Octave for Beginners,École Polytechnique Fédérale de Lausanne,edX,Self Paced,7 Reviews,3.9
763,Intro to JavaScript,-1,Udacity,Self Paced,6 Reviews,4.5
770,Jugando con Android: aprende a programar tu primera app,Universidad Autónoma de Madrid,edX,Self Paced,2 Reviews,4.0
771,Think. Create. Code.,University of Adelaide,edX,Self Paced,2 Reviews,4.5
772,Version Control with Git,-1,Udacity,Self Paced,2 Reviews,5.0
779,ES6 - JavaScript Improved,-1,Udacity,Self Paced,1 Reviews,5.0
780,Database Systems Concepts & Design,Georgia Institute of Technology,Udacity,Self Paced,1 Reviews,4.0
782,Introduction to Python Programming,-1,Udacity,Self Paced,1 Reviews,5.0
787,C++ For Programmers,-1,Udacity,Self Paced,6 Reviews,1.2
791,Practical Numerical Methods with Python,George Washington University,Independent,Self Paced,4 Reviews,4.0
795,Managing SQL Database Transactions and Concurrency,Microsoft,edX,Self Paced,1 Reviews,2.0
801,Introduction to HTML and JavaScript,Microsoft,edX,Self Paced,2 Reviews,4.5
802,Introduction to Programming Using Python,University of Texas Arlington,edX,Self Paced,1 Reviews,5.0
807,SQL for Data Analysis,-1,Udacity,Self Paced,2 Reviews,5.0
817,AngularJS: Advanced Framework Techniques,Microsoft,edX,Self Paced,1 Reviews,4.0
821,Software Engineering Essentials,Technische Universität München (Technical University of Munich),edX,Self Paced,2 Reviews,3.5
828,Add Google Sign-In to your Android Apps,Google,Udacity,Self Paced,2 Reviews,5.0
833,Build Native Mobile Apps with Flutter,Google,Udacity,Self Paced,1 Reviews,4.0
834,How to Install Android Studio,-1,Udacity,Self Paced,1 Reviews,5.0
835,Information Service Engineering,-1,openHPI,Self Paced,3 Reviews,4.0
843,Fundamentals of NetLogo,Santa Fe Institute,Complexity Explorer,Self Paced,7 Reviews,4.9
848,Data Access in C# and .NET Core,Microsoft,edX,Self Paced,1 Reviews,2.0
851,Introduction to Device Programming,Microsoft,edX,Self Paced,1 Reviews,1.0
858,CS50's Introduction to Game Development,Harvard University,edX,Self Paced,2 Reviews,4.5
