,name,institute,provider,date,review,rating
268,Reliable Cloud Infrastructure: Design and Process en Français,Google Cloud,Coursera,"17th Aug, 2020",None,-1
269,"Desarrollo del lado servidor: NodeJS, Express y MongoDB",Universidad Austral,Coursera,"17th Aug, 2020",None,-1
270,Introducción a la programación con Python,Universidad Austral,Coursera,"17th Aug, 2020",None,-1
271,"Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python",Ludwig-Maximilians-Universität München,Coursera,"17th Aug, 2020",None,-1
272,AD,Columbia Business School Executive Education,-1,Self Paced,None,5.0
273,Manejo de bases de datos con Python,Universidad Austral,Coursera,"17th Aug, 2020",None,-1
274,Concept Art for Video Games,Michigan State University,Coursera,"17th Aug, 2020",None,-1
275,Current Gen 3D Game Prop Production,Michigan State University,Coursera,"17th Aug, 2020",None,-1
276,Reliable Cloud Infrastructure: Design and Process em Português Brasileiro,Google Cloud,Coursera,"17th Aug, 2020",None,-1
277,Low Poly Art For Video Games,Michigan State University,Coursera,"17th Aug, 2020",None,-1
278,"Abstraction, Problem Decomposition, and Functions",University of Colorado System,Coursera,"17th Aug, 2020",None,-1
279,"Algorithms, Data Collection, and Starting to Code",University of Colorado System,Coursera,"17th Aug, 2020",None,-1
280,AD,Columbia Business School Executive Education,-1,Self Paced,None,5.0
281,Introduction to iOS App Development with Swift 5,LearnQuest,Coursera,"17th Aug, 2020",None,-1
282,"Tables, Data & Networking in iOS",LearnQuest,Coursera,"17th Aug, 2020",None,-1
283,iOS App Store & In-App Purchases,LearnQuest,Coursera,"17th Aug, 2020",None,-1
284,SQL for Data Science Capstone Project,"University of California, Davis",Coursera,"17th Aug, 2020",None,-1
285,Get an email when new courses are available,-1,-1,Self Paced,None,-1
286,"Coding for Designers, Managers, & Entrepreneurs I",University of Virginia,Coursera,"17th Aug, 2020",None,-1
